央视频道,#genre#
黑龙江卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000196
湖北卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000267
湖北卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000267
湖南卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000195
湖南卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000195
吉林卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000619
吉林卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000619
江西卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000065
江西卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000065
辽宁卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000472
辽宁卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000472
内蒙古卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000098
内蒙古卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000098
宁夏卫视·HD,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000640
宁夏卫视·HD,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000640
宁夏卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000082
宁夏卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000082
青海卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000096
青海卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000096
三沙卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000589
三沙卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000589
厦门卫视,http://10.255.126.3:8006/AHBKLIVE/00005000000000000000000000000244
厦门卫视,http://10.49.6.247:8112/AHBKLIVE/00005000000000000000000000000244
山东卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000470
山东卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000470
山西卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000099
山西卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000099
陕西卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000090
陕西卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000090
深圳卫视·4K,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000638
深圳卫视·4K,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000638
深圳卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000197
深圳卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000197
四川卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000069
四川卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000069
天津卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000266
天津卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000266
西藏卫视·HD,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000639
西藏卫视·HD,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000639
西藏卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000100
西藏卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000100
新疆卫视·HD,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000641
新疆卫视·HD,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000641
新疆卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000097
新疆卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000097
云南卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000060
云南卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000060
